ID,NAME,LOCATION,PASSWORD,MENU ITEMS,PRICES,ORDERED,Items,ORDERS ACCEPTED
2468,GOLDEN TAJ RESTAURANT,ANANTAPUR,Rajesh34@,BIRYANI_DOSA_ CHAPATHI_PAROTA,199_59_49_69,,_BIRYANI ,20565_20503
1357,EMPIRE FAMILY RESTAURANT,ANANTAPUR,Nithin@07,CHICKEN BIRYANI_FRIED RICE _CURD RICE,249_159_59,,,20566_20565
8642,DINESH HOME FOODS,ANANTAPUR,Dharma20@,CHICKEN DUM BIRYANI_EGG RICE _FULL MEALS,239_99_199,,,
9753,ROOPA FAMILY RESTAURANT,ANANTAPUR,Roopa@67,ROOPA'S SPECIAL BIRYANI_GOBI RICE _CHAPATHI_DOSA,189_69_59_49,20565,,20566
6420,KFC,ANANTAPUR,kfcA@43,CHICKEN BURGER_BUCKET FOR TWO_BUCKET MEAL,228_386_489,,,20566_20503
1234,MULTICUISINE RESTAURANT,NELLORE,234,CHICKEN DUM BIRYANI_EGG RICE _DOSA,239_99_68,20543_20527,,
5678,GREEN PARADISE,NELLORE,Gprs@65,BIRYANI_DOSA_ CHAPATHI,238_59_48,,,
9876,JANATHA FAMILY RESTAURANT,NELLORE,Jfrs@03,CHICKEN BIRYANI_FRIED RICE _DOSA_CURD RICE,259_99_47_89,,,20555_20543
4574,TEJA'S FAST FOODS,NELLORE,Teja06@,DOSA_IDLI_UPMA_EGG DOSA_POORI,49_49_59_79_69,20527_20543,,20543
4783,McDONAL'S,NELLORE,Mcd55@,CHICKEN BURGER_VEG BURGER_CHICKEN WRAP_,189_169_156,20543_20555,,20555
3467,RAJ VILAS RESTAURANT,KURNOOL,Rvrs@57,CHICKEN DUM BIRYANI_EGG RICE _FULL MEALS,258_102_178,20564,,
7834,DVR RESTAURANT,KURNOOL,Dvrs@46,BIRYANI_CHAPATHI_DOSA,238_59_48,20565,,
9834,HOTEL HINDUSTAN,KURNOOL,Hhntr@68,CHICKEN BIRYANI_FRIED RICE _DOSA_CURD RICE,259_94_47_85,,,
5637,MYTHRI FAMILY RESTAURANT,KURNOOL,Mythri@32,CHICKEN BIRYANI_FRIED RICE _CURD RICE,249_159_59,20527,,
4683,FIVE STAR CHICKEN,KURNOOL,FiveS@67,CHICKEN ROLL_EGG ROLL_FINGERS COMBO,225_187_256,,,20543
